순번,이름,주소,메모,위도,경도,등록일
111,"의정부천문대","경기 의정부시 부용로214번길 51-81 (신곡동)","",37.74701005,127.07695158,"2025-08-26 06:51:51"
112,"아크앤북 TP타워여의도점","서울 영등포구 의사당대로 96 지하2층 (여의도동)","",37.5215474,126.92294121,"2025-08-26 08:01:49"
113,"전쟁기념관","서울 용산구 이태원로 29 (용산동1가)","",37.53706754,126.97709028,"2025-08-26 08:02:36"
114,"북파크라운지","서울 용산구 이태원로 294 블루스퀘어 3층 (한남동)","",37.54095846,127.00251649,"2025-08-26 08:03:00"
115,"율암온천","경기 화성시 팔탄면 온천로 434-14 (팔탄면 율암리)","",37.15218505,126.88226577,"2025-08-27 14:44:32"
116,"신세계아울렛 시흥프리미엄","경기 시흥시 서해안로 699 (배곧동)","",37.3797815,126.73708069,"2025-08-27 18:04:54"
117,"디올카페","서울 강남구 압구정로 464 하우스 오브 디올 5층 (청담동)","",37.52478176,127.04650425,"2025-08-28 10:05:50"
118,"수원지관서가","경기 수원시 팔달구 월드컵로381번길 2 1관 1층 (우만동)","",37.29150629,127.02797316,"2025-08-28 12:41:25"
119,"스테드패스트 커피앤웍스","경기 성남시 분당구 판교공원로2길 22 지하1층, 1층 (판교동)","",37.38935083,127.09215436,"2025-08-28 12:42:06"
120,"괴테의집 지관서가","경기 여주시 강천면 가정긴골길 255-42 (강천면 걸은리)","",37.31196022,127.70809592,"2025-08-28 17:22:18"
121,"베이콜로지 빵학개론 수원영통점","경기 수원시 영통구 신원로250번길 13 현대테라타워 영통 지하1-2층 L147, G219호 (원천동)","",37.25788855,127.06124214,"2025-08-28 18:22:11"
122,"놀숲 교대점","서울 서초구 사임당로 46 서초제일빌딩 2층 (서초동)","",37.48826681,127.01507475,"2025-08-31 21:00:51"
123,"세화미술관","서울 종로구 새문안로 68 흥국생명빌딩 2층 (신문로1가)","",37.56964296,126.97214502,"2025-09-03 23:16:05"
124,"종로구립 고희동미술관","서울 종로구 창덕궁5길 40 (원서동)","",37.58313182,126.98897283,"2025-09-05 21:16:56"
125,"피자에미치다","서울 서초구 서초대로50길 63 한성빌딩 2층 202호 (서초동)","",37.49045102,127.01377256,"2025-09-10 21:13:40"
126,"루베르데","경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 2층 C122~124호 (이의동)","",37.2917476,127.05027155,"2025-09-11 16:13:25"
127,"포레스트아웃팅스 용인점","경기 용인시 기흥구 농서로 4 (고매동)","",37.22315946,127.09764411,"2025-09-15 12:39:47"
128,"CGV 명동역 씨네라이브러리","서울 중구 퇴계로 123 하이해리엇 10-11층 (충무로2가)","",37.56132015,126.98543571,"2025-09-16 23:53:39"
129,"시향","서울 마포구 잔다리로 60 1층 (서교동)","",37.55327355,126.91779779,"2025-09-17 12:18:06"
130,"카타코토","서울 마포구 동교로 148-6 지하1층 (서교동)","",37.55513376,126.91858796,"2025-09-17 12:18:42"
131,"카와카츠 본점","서울 마포구 동교로 126 광남벨라스아파트 1층 102호 (서교동)","",37.55474286,126.91619819,"2025-09-17 12:18:58"
132,"카와카츠 합정점","서울 마포구 양화로 78-7 1층 (서교동)","",37.55150734,126.91742402,"2025-09-17 12:19:08"
133,"비틀비틀,비틀스타코 서순라점","서울 종로구 서순라길 89-7 1층 (권농동)","",37.57420502,126.99204871,"2025-09-20 12:52:26"
134,"앵글340","서울 종로구 청계천로 155 3층 (장사동)","",37.56884605,126.99474329,"2025-09-20 12:59:31"
135,"미메시스아트뮤지엄","경기 파주시 문발로 253 (문발동)","",37.71679184,126.68892111,"2025-09-21 09:53:26"
136,"고려제강 기념관","부산 수영구 구락로141번길 63 (망미동)","",35.17771741,129.11349701,"2025-09-21 21:30:41"
137,"환기미술관","서울 종로구 자하문로40길 63 (부암동)","",37.59408714,126.96611197,"2025-09-23 21:16:01"
138,"에스파스루이비통 서울","서울 강남구 압구정로 454 4층 (청담동)","",37.5256144,127.04622421,"2025-09-23 21:16:41"
139,"푸투라서울","서울 종로구 북촌로 61 (가회동)","",37.58226639,126.98473423,"2025-09-25 20:57:45"
140,"가배도 신논현점","서울 강남구 강남대로110길 13 호림빌딩 2-3층 (역삼동)","",37.50401452,127.02594415,"2025-09-29 06:03:28"
141,"에그궁","경기 수원시 팔달구 화서문로17번길 6-4 1층 (장안동)","",37.28542173,127.01027088,"2025-10-06 10:53:37"
142,"레드포스 PC아레나 신논현점","서울 강남구 강남대로 468 충림빌딩 지하2층 (역삼동)","",37.5041192,127.02520228,"2025-10-06 18:49:34"
143,"레드포스PC아레나 강남점","서울 서초구 강남대로53길 7 6층 602~604호 (서초동)","",37.49426511,127.0282612,"2025-10-06 18:49:50"
144,"소점","서울 마포구 성미산로17길 99 1층 (연남동)","",37.56585096,126.91706862,"2025-10-06 19:13:39"
145,"게장뷔페","서울 관악구 보라매로 34 (봉천동)","",37.49250883,126.92706901,"2025-10-10 18:49:55"
146,"해진아나고","부산 수영구 광서로10번길 47 1층 (광안동)","",35.16627983,129.11392082,"2025-10-11 13:47:12"
147,"경찰서옆초밥집","부산 부산진구 부전로 92 1층 (부전동)","",35.15827346,129.05489374,"2025-10-11 19:32:40"
148,"주부리","서울 서초구 동광로12가길 25 1층 (방배동)","",37.48724398,126.98352564,"2025-10-12 20:24:58"
149,"홍제유연","서울 서대문구 통일로 484 지하 (홍제동)","",37.59184413,126.9437164,"2025-10-12 21:33:21"
150,"상무초밥 해운대센텀점","부산 해운대구 센텀5로 41 1층 103호 (우동)","",35.17223883,129.1303398,"2025-10-17 17:37:32"
151,"수영냉삼","부산 수영구 연수로401번길 4 1층 (수영동)","",35.16872739,129.1135057,"2025-10-26 07:30:16"
152,"새벽길빨간오뎅","서울 관악구 남부순환로248길 15 (봉천동)","",37.47535098,126.96566576,"2025-10-26 08:38:36"
153,"쟝블랑제리","서울 관악구 낙성대역길 8 1층 (봉천동)","",37.47715762,126.96196823,"2025-10-26 08:41:02"
154,"모모즉석떡볶이","서울 관악구 남부순환로246나길 19 1층 (봉천동)","",37.47489525,126.96508057,"2025-10-26 08:43:50"
